planet;column;Q1;Q3;IQR;lower_bound;upper_bound;outliers_count
Callisto;tof_days_d;831.654121085676;970.0;138.34587891432398;624.1353027141901;1177.5188183714858;11
Callisto;delta_v_km_s;14.209986273671294;15.684550051699697;1.4745637780284024;11.998140606628692;17.8963957187423;0
Callisto;r1_x_geocentric_km;-2696.758078715644;5210.948940629838;7907.707019345482;-14558.318607733867;17072.50946964806;0
Callisto;r1_y_geocentric_km;-4110.5872784908615;4496.192276778885;8606.779555269746;-17020.75661139548;17406.361609683503;0
Callisto;r1_z_geocentric_km;-2285.603765938501;3462.202267403395;5747.806033341896;-10907.312815951344;12083.911317416238;0
Callisto;orbit_altitude_km;653.9013494006626;1501.933272205443;848.0319228047804;-618.146534806508;2773.981156412614;0
Callisto;semi_major_axis_km;7032.037949400663;7880.069872205443;848.0319228047802;5759.990065193493;9152.117756412614;0
Callisto;eccentricity;0.026358543059559574;0.0701217571570486;0.043763214097489025;-0.03928627808667397;0.13576657830328215;0
Callisto;arg_periapsis_deg;62.81198991515503;290.1765763792298;227.36458646407476;-278.2348897809571;631.2234560753419;0
Callisto;raan_deg;140.77670228640918;275.4902181593525;134.7135158729433;-61.293571523005795;477.56049196876745;0
Callisto;inclination_deg;55.36383728843403;139.38142732642083;84.0175900379868;-70.66254776854619;265.40781238340105;0
Callisto;mean_anomaly_deg;123.18638540673302;275.6908122328751;152.50442682614207;-105.57025483248006;504.4474524720882;0
Callisto;eccentric_anomaly_deg;126.83795558651;272.99169917245524;146.15374358594522;-92.39265979240783;492.2223145513731;0
Callisto;true_anomaly_deg;129.82780373802927;270.28825413786564;140.46045039983636;-80.86287186172527;480.9789297376202;0
Callisto;r1_x_km;136971811.02304858;148833073.86527997;11861262.842231393;119179916.75970149;166624968.12862706;14
Callisto;r1_y_km;-58079981.8309357;10696414.08015203;68776395.91108774;-161244575.69756728;113861007.94678363;0
Callisto;r1_z_km;-25150148.899128795;4659938.224669282;29810087.123798076;-69865279.5848259;49375068.9103664;0
Callisto;v1_x_km_s;-2.961721000386741;11.84076480623587;14.80248580662261;-25.165449710320654;34.04449351616978;0
Callisto;v1_y_km_s;24.78841102980792;27.135463438441317;2.3470524086333953;21.26783241685783;30.65604205139141;14
Callisto;v1_z_km_s;10.74572955166323;11.762579127085868;1.016849575422638;9.220455188529272;13.287853490219824;14
Callisto;v1_magnitude_km_s;29.49813106243827;29.72311280845385;0.22498174601557963;29.1606584434149;30.060585427477218;0
Callisto;r2_x_km;-810922456.0943334;-799405017.2792792;11517438.815054178;-828198614.3169147;-782128859.056698;23
Callisto;r2_y_km;43054910.66528038;96701148.00192048;53646237.3366401;-37414445.33967977;177170504.00688064;34
Callisto;r2_z_km;17590072.879540212;18062826.035206936;472753.15566672385;16880943.146040127;18771955.768707022;31
Callisto;v2_x_km_s;-6.796398613261919;-0.3959570084876125;6.400441604774307;-16.39706102042338;9.204705398673848;0
Callisto;v2_y_km_s;-5.149610037548255;-4.29215581828288;0.8574542192653754;-6.435791366446319;-3.005974489384817;15
Callisto;v2_z_km_s;0.2500722431292495;0.3364627989803219;0.08639055585107236;0.12048640935264099;0.4660486327569304;15
Callisto;v2_magnitude_km_s;4.357924842046967;8.531358880981095;4.173434038934128;-1.902226216354225;14.791509939382287;0
Callisto;r1_with_gravity_corrected_x_km;136971811.02305388;148833073.86528584;11861262.84223196;119179916.75970595;166624968.1286338;14
Callisto;r1_with_gravity_corrected_y_km;-58079981.83093791;10696414.080152482;68776395.91109039;-161244575.69757348;113861007.94678807;0
Callisto;r1_with_gravity_corrected_z_km;-25150148.899129763;4659938.224669483;29810087.123799246;-69865279.58482863;49375068.91036835;0
Callisto;r1_total_corrected_x_km;136971811.02305388;148833073.86528584;11861262.84223196;119179916.75970595;166624968.1286338;14
Callisto;r1_total_corrected_y_km;-58079981.83093791;10696414.080152482;68776395.91109039;-161244575.69757348;113861007.94678807;0
Callisto;r1_total_corrected_z_km;-25150148.899129763;4659938.224669483;29810087.123799246;-69865279.58482863;49375068.91036835;0
Callisto;v1_transfer_x_km_s;-1.82866151515474;9.790812019771096;11.619473534925836;-19.257871817543492;27.22002232215985;9
Callisto;v1_transfer_y_km_s;33.01265763196163;37.348708729486766;4.336051097525136;26.508580985673927;43.852785375774474;0
Callisto;v1_transfer_z_km_s;10.347493266391291;15.671094305450104;5.323601039058813;2.3620917078030716;23.656495864038323;0
Callisto;r2_total_corrected_x_km;-810922456.0943016;-799405017.2792482;11517438.815053344;-828198614.3168817;-782128859.0566683;23
Callisto;r2_total_corrected_y_km;43054910.66529745;96701148.0019384;53646237.336640954;-37414445.33966398;177170504.00689983;34
Callisto;r2_total_corrected_z_km;17590072.879541006;18062826.0352079;472753.1556668952;16880943.146040663;18771955.768708244;31
Callisto;v2_transfer_x_km_s;-3.916395922015739;-1.537603355331557;2.378792566684182;-7.4845847720420124;2.030585494694716;28
Callisto;v2_transfer_y_km_s;-6.591849770082644;-5.978705680888879;0.6131440891937645;-7.51156590387329;-5.058989547098232;16
Callisto;v2_transfer_z_km_s;-2.90096139576945;-1.8638789183411089;1.037082477428341;-4.456585111911961;-0.3082552021985976;0
Callisto;delta_r1_with_gravity_x_km;5.27501106262207e-06;5.8710575103759766e-06;5.960464477539062e-07;4.380941390991211e-06;6.765127182006836e-06;0
Callisto;delta_r1_with_gravity_y_km;-2.205371856689453e-06;4.507601261138916e-07;2.6561319828033447e-06;-6.18956983089447e-06;4.434958100318909e-06;0
Callisto;delta_r1_with_gravity_z_km;-9.685754776000977e-07;2.002343535423279e-07;1.1688098311424255e-06;-2.721790224313736e-06;1.953449100255966e-06;0
Callisto;delta_r1_x_km;5.27501106262207e-06;5.8710575103759766e-06;5.960464477539062e-07;4.380941390991211e-06;6.765127182006836e-06;0
Callisto;delta_r1_y_km;-2.205371856689453e-06;4.507601261138916e-07;2.6561319828033447e-06;-6.18956983089447e-06;4.434958100318909e-06;0
Callisto;delta_r1_z_km;-9.685754776000977e-07;2.002343535423279e-07;1.1688098311424255e-06;-2.721790224313736e-06;1.953449100255966e-06;0
