Feature;Importance
r2_total_corrected_y_km;28.453310776748324
r1_total_corrected_x_km;23.52395206182016
r2_total_corrected_z_km;15.269130876081531
r1_total_corrected_z_km;12.894464334821134
r2_total_corrected_x_km;10.281876399142355
r1_total_corrected_y_km;8.505885512648513
target_body_name;1.071380038738147
