planet;column;Q1;Q3;IQR;lower_bound;upper_bound;outliers_count
Saturn;Neptune_x_effect_start_km_s2;-5.23330485444735e-06;-4.94825708600148e-06;2.8504776844586997e-07;-5.660876507116155e-06;-4.520685433332675e-06;0
Saturn;Pluto_x_effect_start_km_s2;-1.0161185211893899e-11;-6.7655741807980084e-12;3.3956110310958903e-12;-1.5254601758537733e-11;-1.6721576341541726e-12;0
Saturn;Sun_y_effect_start_km_s2;2.1255357000899088e-11;2.403438343737372e-11;2.7790264364746318e-12;1.708681734618714e-11;2.8202923092085666e-11;0
Saturn;Mercury_y_effect_start_km_s2;-3.964668151930269e-13;-2.749648361902124e-13;1.215019790028145e-13;-5.787197836972486e-13;-9.271186768599066e-14;0
Saturn;Venus_y_effect_start_km_s2;2.674034634937574e-13;2.8815282711557455e-13;2.074936362181713e-14;2.362794180610317e-13;3.192768725483002e-13;0
Saturn;Earth_y_effect_start_km_s2;-1.557440764542247e-10;-1.5311323639851027e-10;2.6308400557144288e-12;-1.5969033653779634e-10;-1.4916697631493863e-10;0
Saturn;Mars_y_effect_start_km_s2;-1.3497605193087574e-13;1.1774225181351594e-13;2.5271830374439166e-13;-5.140535075474632e-13;4.968197074301034e-13;0
Saturn;Moon_y_effect_start_km_s2;-5.315131641844976e-13;-5.223661716061175e-13;9.146992578380146e-15;-5.452336530520678e-13;-5.086456827385472e-13;0
Saturn;Jupiter_y_effect_start_km_s2;-9.198363539986792e-15;-7.842813757671265e-15;1.3555497823155274e-15;-1.1231688213460083e-14;-5.809489084197974e-15;0
Saturn;Saturn_y_effect_start_km_s2;3.0265962670798206e-17;3.064359634182601e-17;3.7763367102780068e-19;2.9699512164256505e-17;3.121004684836771e-17;0
Saturn;Uranus_y_effect_start_km_s2;-2.281454308450636e-06;-2.1579959597028834e-06;1.234583487477525e-07;-2.466641831572265e-06;-1.972808436581255e-06;0
Saturn;Neptune_y_effect_start_km_s2;-1.2123585466152974e-11;-8.836444799324405e-12;3.287140666828569e-12;-1.7054296466395827e-11;-3.905733799081551e-12;0
Saturn;Pluto_y_effect_start_km_s2;-1.1595038773504336e-10;-1.0256320559020946e-10;1.3387182144833904e-11;-1.360311609522942e-10;-8.24824323729586e-11;0
Saturn;Sun_z_effect_start_km_s2;-1.674768779574656e-13;-1.4079889060344176e-13;2.6677987354023845e-14;-2.0749385898850139e-13;-1.00781909572406e-13;0
Saturn;mercury_z_effect_start_km_s2;-1.4296718887096468e-12;-1.2585429152793849e-12;1.7112897343026193e-13;-1.6863653488550398e-12;-1.001849455133992e-12;0
Saturn;Venus_z_effect_start_km_s2;-9.770405443138624e-12;-9.344222828622593e-12;4.261826145160314e-13;-1.040967936491267e-11;-8.704948906848545e-12;0
Saturn;Earth_z_effect_start_km_s2;-7.383757711453626e-14;-2.9136587759497715e-14;4.4700989355038544e-14;-1.408890611470941e-13;3.79148962730601e-14;0
